Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"Multiflora Market, Cnr Fig Place And Vickers Road (m19),City Deep,City Deep",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"174 Smit Street,Fairland,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"20 Jan Smuts Avenue,Dunkeld West,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Valley Shopping Centre, cnr Jan Smuts and Burnside Avenue,Craighall Park,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 231, Balfour Mall, cnr Athol Street and Northview Road,Highlands North,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Kitchner Avenue,Kensington,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Park and Atholl Oaklands Road,Birnam,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Melrose Boulavard,Melrose Arch,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Rahima Moosa and Ntemi Piliso Street,Newtown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Cnr Carr and Miriam Makeba Street,Newtown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Shop 115, Newtown Junction, 100 Carr Street,Newtown,Newtown",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Shop 73u, Norwood Mall, 6th Avenue,The Gardens,The Gardens",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Norwood Mall, 6th Avenue,The Gardens,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Norwood Mall, 6th Avenue,The Gardens,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"26 4th Ave,Parkhurst,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Kayburne and John Vorster Drive,Randpark Ridge,Randburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Cnr John Vorster and Ferero Ave,Randpark Ridge,Randburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 123a, Randridge Mall, Cnr John Vorster Road And Kayburn Avenue,Randpark Ridge,Randpark Ridge",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Kowie Road and Kelly Avenue,Boskruin,Randburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"174 Smit Street,Fairland,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 123a, Randridge Mall, Cnr John Vorster Road And Kayburn Avenue,Randpark Ridge,Randpark Ridge",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Kowie Road and Kelly Avenue,Boskruin,Randburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"70 Conrad Street,Blairgowrie,Randburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"219 Bram Fischer Road,Kensington B,Randburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Bath and Baker Ave,Rosebank,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Upper Level 50 Bath Road,Rosebank,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"21 Cradock Street,Rosebank,Rosebank",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Upper Level 50 Bath Road,Rosebank,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Bath and Baker Ave,Rosebank,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr 1st and Chadwich Avenue,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Shop 17, Alexandra Plaza, 3rd Street,Wynberg,Wynberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"39 Third Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Watt Ave and Third Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"3rd Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Pan Africa Shopping Centre, Watt Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr 2nd and Arkwright Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Arkwright Avenue and Andries Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Marlboro Drive,Marlboro Gardens,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Bowling Avenue and South Road,Kramerville,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Vunani Office Park, 151 Katherine Street,Simba,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Caltine and Pretoria Street,Sandown,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"129 Rivonia Road,Sandown,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
